"year","hh_u_black_mean","hh_u_nonblack_mean","hh_u_mean_ratio","hh_u_black_median","hh_u_nonblack_median","hh_u_median_ratio","hh_w_black_mean","hh_w_nonblack_mean","hh_w_mean_ratio","hh_w_black_median","hh_w_nonblack_median","hh_w_median_ratio","r_hh_u_black_mean","r_hh_u_nonblack_mean","r_hh_u_mean_ratio","r_hh_u_black_median","r_hh_u_nonblack_median","r_hh_u_median_ratio","r_hh_w_black_mean","r_hh_w_nonblack_mean","r_hh_w_mean_ratio","r_hh_w_black_median","r_hh_w_nonblack_median","r_hh_w_median_ratio","cl_u_black_mean","cl_u_nonblack_mean","cl_u_mean_ratio","cl_u_black_median","cl_u_nonblack_median","cl_u_median_ratio","cl_w_black_mean","cl_w_nonblack_mean","cl_w_mean_ratio","cl_w_black_median","cl_w_nonblack_median","cl_w_median_ratio","r_cl_u_black_mean","r_cl_u_nonblack_mean","r_cl_u_mean_ratio","r_cl_u_black_median","r_cl_u_nonblack_median","r_cl_u_median_ratio","r_cl_w_black_mean","r_cl_w_nonblack_mean","r_cl_w_mean_ratio","r_cl_w_black_median","r_cl_w_nonblack_median","r_cl_w_median_ratio","neg_r_hh_w_black_mean","neg_r_hh_w_nonblack_mean","neg_r_hh_w_mean_ratio","neg_r_hh_w_black_median","neg_r_hh_w_nonblack_median","neg_r_hh_w_median_ratio","neg_r_cl_w_black_mean","neg_r_cl_w_nonblack_mean","neg_r_cl_w_mean_ratio","neg_r_cl_w_black_median","neg_r_cl_w_nonblack_median","neg_r_cl_w_median_ratio"
1969,527.062864604427,1187.4069383836,0.443877197923326,385.666666666667,898.9,0.429042904290429,732.991336700431,1273.37099963242,0.575630618972807,522.133333333333,1001.25,0.521481481481481,630.458206464453,1297.85365118595,0.485769875431143,451.23,1018.16,0.443181818181818,936.490057304732,1431.17811142313,0.654349063774812,673.552,1145.13333333333,0.588186528497409,1805.68218892045,3201.01281414995,0.564097144796956,1568.18,2754.016,0.569415718717684,2062.40694823705,3391.37956134129,0.608132151218536,1728.38,2997.52,0.576603325415677,1701.80284507042,3090.169,0.550715137285509,1480.604,2687.8,0.550860927152318,2065.99704803878,3290.58005367957,0.62785193319596,1794.24,3144.548,0.570587569342239,936.490057304732,1431.17811142313,0.654349063774812,673.552,1145.13333333333,0.588186528497409,2065.99704803878,3290.58005367957,0.62785193319596,1794.24,3144.548,0.570587569342239
1970,655.565447036304,1385.38697058677,0.473200240044588,484.407,1074.8745,0.45066377516631,847.867813086988,1478.77329826733,0.573358887451126,630,1159.704,0.543242068665797,809.52963597285,1455.60503834424,0.556146492110041,565.866,1207.71,0.468544600938967,1065.26616960259,1585.05786441771,0.672067685045638,750.33,1341.9,0.559154929577465,2177.41747959184,3684.9174615245,0.590899932583839,1844.64,3178.98,0.58026159334126,2406.82016913155,3889.06249536258,0.618868987577727,1964.466,3409.182,0.576227963188824,2105.62036363636,3314.03635787671,0.635364291834573,1902.096,3060.855,0.621426366162396,2493.24087926566,3427.77498435824,0.727364220417884,2093.112,3178.98,0.65842251288149,1065.26616960259,1585.05786441771,0.672067685045638,750.33,1341.9,0.559154929577465,2493.24087926566,3427.77498435824,0.727364220417884,2093.112,3178.98,0.65842251288149
1971,742.998597977825,1568.53853184558,0.473688457690353,557.2,1203.552,0.462962962962963,948.054088204332,1666.95066126544,0.568735542229326,693.714,1289.52,0.537962962962963,829.866501486922,1653.11261822085,0.502002399800237,584.264,1326.66666666667,0.4404,1109.06557217682,1784.66815154848,0.621440782262254,716.4,1452.7,0.493150684931507,2441.6429375,4132.33332811111,0.590863017000634,2049.7,3582,0.572222222222222,2633.71792597635,4337.40111741543,0.60721105903752,2008.308,3818.81,0.525898905680042,2157.31085483871,3807.25232567901,0.566631961923868,1916.45291666667,3507.375,0.546406619385343,2428.21798721172,3954.77188806559,0.613996977812909,1888.51,3630.82133333333,0.520133002046185,1109.06557217682,1784.66815154848,0.621440782262254,716.4,1452.7,0.493150684931507,2428.21798721172,3954.77188806559,0.613996977812909,1888.51,3630.82133333333,0.520133002046185
1972,848.165874422207,1736.88420590879,0.488326090787624,638.694,1347.121,0.474117766703956,1033.31109275707,1847.48677673127,0.559306353783646,812.3415,1447.131,0.561346208463505,905.518735949968,1829.50231394217,0.494953588770694,644.2425,1513.69245,0.425609905103246,1071.02930426461,1985.25067983329,0.539493231330639,769.392,1637.424,0.469879518072289,2757.26472549168,4529.47054667168,0.608738857462658,2288.722,3904.5,0.586175438596491,2973.9652781397,4750.39754641352,0.626045557047114,2293.38,4188.09,0.547595682041217,2445.55288173077,4278.95626679687,0.571530235236887,2167.6551,3869.291,0.560220231561803,2613.78954427693,4446.58416580664,0.587819649153716,2572.86,4075.75,0.631260504201681,1071.02930426461,1985.25067983329,0.539493231330639,769.392,1637.424,0.469879518072289,2613.78954427693,4446.58416580664,0.587819649153716,2572.86,4075.75,0.631260504201681
1973,989.242075875692,1970.59857263957,0.502000808084736,745.5,1548.084,0.481563015960374,1196.51473209909,2091.07546056278,0.572200647305701,869.04,1646.064,0.527950310559006,1052.82438876641,2033.30899082328,0.517788685102957,779.154,1626.681,0.478983894199293,1237.19671283214,2206.8278625287,0.560622209751552,940.608,1775,0.52992,3031.78335662558,5066.91186139677,0.598349337734448,2552.379,4420.176,0.57743831919815,3250.57488871906,5283.80654883603,0.615195665979696,2641.2,4643.4,0.568807339449541,2801.13309624665,4781.7885366174,0.585791921745696,2566.9695,4497.069,0.570809453890968,3036.28886833361,4928.37825146892,0.616082758548137,2769,4649.79,0.595510765002291,1237.19671283214,2206.8278625287,0.560622209751552,940.608,1775,0.52992,3036.28886833361,4928.37825146892,0.616082758548137,2769,4649.79,0.595510765002291
1974,1224.53597034693,2351.60325983184,0.520723878582521,894.72,1847.49583333333,0.484287966368891,1427.2400763519,2494.69799575036,0.572109361046169,1049.432,1971.18,0.532387706855792,1316.51579832386,2450.10690785765,0.537329940216777,946.3994,1957.2,0.483547619047619,1525.24798810529,2658.41032581341,0.573744381480537,1130.20533333333,2179.715,0.518510600391947,3626.34014047993,5998.12804183647,0.604578647735842,3085.77433333333,5292.828,0.58301050654458,3827.42560283436,6224.03088948352,0.614943221008334,3097.968,5533.75,0.559831578947369,3424.98054560053,5746.51149184447,0.596010388295806,3178.12,5349.913,0.594050781760376,3758.93296362909,5964.92231263006,0.630172995827617,3505.718,5623.688,0.623384156446802,1525.24798810529,2658.41032581341,0.573744381480537,1130.20533333333,2179.715,0.518510600391947,3758.93296362909,5964.92231263006,0.630172995827617,3505.718,5623.688,0.623384156446802
1975,1554.05571936486,2912.71588335069,0.533541815131355,1128.83333333333,2266.35,0.498084291187739,1847.26136391693,3110.86390532507,0.593809764790692,1319.86666666667,2431.33333333333,0.542857142857143,1658.89805485587,3053.46954517264,0.54328298688241,1197.60533333333,2426.818,0.49348790611135,1998.55542002823,3359.25458257212,0.594940148447449,1510.9,2722.225,0.555023923444976,4359.87513902906,7264.28901730488,0.600179195602354,3675.134,6304.1,0.58297520661157,4572.02252489172,7508.165586706,0.608940022978046,3664.714,6512.5,0.56272,4304.19726155036,7078.33531323466,0.608080441386073,4021.3385,6415.8545,0.626781436517926,4792.18734646144,7314.90446127137,0.655126443801637,4454.89733333333,6681.825,0.666718648473034,1998.55542002823,3359.25458257212,0.594940148447449,1510.9,2722.225,0.555023923444976,4792.18734646144,7314.90446127137,0.655126443801637,4454.89733333333,6681.825,0.666718648473034
1976,1827.24652096295,3353.63135225898,0.54485610642092,1309.102,2567.052,0.509963179553823,2183.52156894624,3586.19610143212,0.608868424142861,1688.85,2754.98,0.613017154389506,1918.54497408697,3470.9986726557,0.552735726810022,1371.096,2656.19733333333,0.51618755233045,2329.21729959681,3819.12326070647,0.609882724540801,1871.86666666667,2939.016,0.636902509774246,4957.19197489533,8257.03306672497,0.600359951914487,4229.77,7228,0.585192307692308,5268.41638829676,8508.30081310904,0.619208994136588,4499.986,7367,0.610830188679245,4790.05480283847,7971.55279984938,0.600893567803876,4415.196,7393.22466666666,0.597194891142223,5295.737194099,8208.97897660312,0.64511520972251,4892.8,7591.624,0.644499780284166,2329.21729959681,3819.12326070647,0.609882724540801,1871.86666666667,2939.016,0.636902509774246,5295.737194099,8208.97897660312,0.64511520972251,4892.8,7591.624,0.644499780284166
1977,2073.64979601506,3914.21765316992,0.529773758067776,1491.75,3042,0.490384615384615,2489.96959493479,4157.58346213318,0.598898282527139,1755,3276,0.535714285714286,2145.74250021108,4015.00395090906,0.534430981001962,1502.1825,3188.25,0.471162079510703,2625.28345722174,4365.90601292053,0.6013146983587,1755,3510,0.5,5594.24049118426,9605.14119272784,0.58242147397268,4788.225,8284.4775,0.577975496945945,5918.76959200057,9798.58460699615,0.604043321499168,4950.27,8482.5,0.583586206896552,5511.58428066989,9510.46374267241,0.579528446750711,4984.2,8738.145,0.570395661779474,6065.24608326031,9734.29989784366,0.623079846204849,5657.38875,9020.7,0.627156290531777,2625.28345722174,4365.90601292053,0.6013146983587,1755,3510,0.5,6065.24608326031,9734.29989784366,0.623079846204849,5657.38875,9020.7,0.627156290531777
1978,2435.56282095795,4597.48866890083,0.529759396131421,1797.6875,3590,0.50074860724234,2785.95761979933,4922.20185081422,0.565998247174378,1994.375,3828.125,0.520979591836735,2520.80472569197,4700.02069628765,0.536339069247727,1836.35416666667,3766.484375,0.487551250406201,2914.79645289477,5153.03249113163,0.565646822120981,2050.3125,4193.33333333333,0.488945747217806,6609.6129409171,11149.5141365888,0.592816230370672,5600.9375,9687.5,0.578161290322581,6845.95272988188,11432.0701282518,0.598837538003167,5672.5,9815,0.577941925624045,6649.54562771872,10941.0910171972,0.607758917028198,5993.125,10156.25,0.590092307692308,7102.89915617115,11273.9559295023,0.630027223858831,6618.4375,10515.4166666667,0.629403257122479,2914.79645289477,5153.03249113163,0.565646822120981,2050.3125,4193.33333333333,0.488945747217806,7102.89915617115,11273.9559295023,0.630027223858831,6618.4375,10515.4166666667,0.629403257122479
